the	23135851162
of	13151942776
and	12997637966
to	12136980858
a	9081174698
in	8469404971
for	5933321709
is	4705743816
on	3750423199
that	3400031103
by	3350048871
this	3228469086
with	3183110675
i	3086225277
you	2996181025
it	2813163874
not	2633487141
or	2590739907
be	2398724162
are	2393335404
from	2275220347
at	2205610798
as	2117860394
all	1912787249
have	1903199608
new	1811325197
more	1718923498
an	1686700779
was	1625764511
we	1582805997
will	1513585502
can	1379182543
us	1340672094
about	1333462498
if	1293277182
my	1252383330
has	1202026447
but	1200675063
one	1188574912
our	1173130229
do	1163082506
no	1152978273
time	1104180662
they	1097752548
he	1095234507
up	1093591077
its	1082527633
only	1068588379
which	1039696565
when	1036472547
make	1021048253
like	1016984941
get	982681279
just	926953654
out	923714485
been	894893385
would	884975733
how	876610553
also	843695757
her	843544675
other	840803690
what	840458815
so	834574821
some	805459157
very	788815455
than	786810872
any	780167957
she	778380349
into	743723587
most	728752654
may	722987972
after	717076136
know	715547640
back	713012095
should	704516573
their	702237765
year	687570025
much	668765783
see	654249991
over	640456217
two	637553997
way	633891011
come	621597769
could	620519737
people	612186216
first	610960953
day	603068693
between	591055927
even	577556571
because	574131155
many	572780271
well	570793115
state	566913419
those	560518781
own	559757050
work	545447408
through	543028575
life	542070360
where	536375951
world	530048828
long	527773233
being	521949561
then	519724823
did	519478218
take	517783149
good	510755946
think	508459697
help	507820972
right	504285523
still	499773905
too	498610585
here	494693399
need	491671937
before	490851614
home	489825835
who	488781113
last	484975596
great	483504085
man	480854458
him	479254750
while	477327263
old	464917277
hand	461093670
high	460629556
part	460120019
off	459782174
go	457939476
same	456556614
each	455498367
look	450539543
down	445488564
use	444084510
find	443655804
small	441654497
place	437285805
end	435849987
now	433645629
head	432155614
point	431741701
little	431015419
give	426590399
must	424810693
big	423654126
never	420543710
house	417312457
school	416210973
say	415963527
might	413289267
since	411898854
under	408539176
thing	406781327
turn	405892103
again	405112547
every	403298714
keep	400915687
system	398921754
start	397256841
show	394652310
city	392841756
number	391542673
play	387465298
move	385412563
group	383125479
water	380987654
run	378654321
change	376543210
set	374987654
try	372543218
ask	370654321
late	368987654
three	366543210
mean	364987654
call	362543218
line	360654321
open	358987654
name	356543210
read	354987654
side	352543218
left	350654321
real	348987654
night	346543210
put	344987654
close	342543218
next	340654321
hard	338987654
live	336543210
both	334987654
story	332543218
few	330654321
write	328987654
along	326543210
light	324987654
always	322543218
tell	320654321
stand	316543210
grow	314987654
body	312543218
face	310654321
watch	308987654
power	306543210
stop	304987654
fact	302543218
second	300654321
sure	298987654
hold	296543210
land	294987654
eye	292543218
young	290654321
love	288987654
black	286543210
child	284987654
white	282543218
begin	280654321
yet	278987654
food	276543210
case	274987654
woman	272543218
talk	270654321
door	268987654
best	266543210
idea	264987654
money	262543218
class	260654321
room	258987654
different	256543210
able	254987654
above	252543218
kind	250654321
large	248987654
often	246543210
early	244987654
family	240654321
enough	238987654
problem	236543210
order	234987654
until	232543218
field	230654321
general	228987654
across	226543210
level	224987654
table	222543218
voice	220654321
less	218987654
better	216543210
plan	214987654
free	212543218
done	208987654
care	206543210
clear	204987654
human	202543218
leave	200654321
law	198987654
air	196543210
drive	194987654
true	192543218
full	190654321
bit	188987654
bring	186543210
pay	184987654
death	182543218
during	180654321
past	178987654
half	176543210
short	174987654
study	172543218
five	170654321
step	168987654
west	164987654
east	160654321
near	158987654
low	156543210
form	154987654
inside	152543218
rest	150654321
river	148987654
area	146543210
cut	144987654
reach	142543218
draw	140654321
war	138987654
build	136543210
fire	134987654
cover	132543218
feel	130654321
car	128987654
hour	126543210
act	124987654
game	122543218
picture	120654321
lead	118987654
add	116543210
question	114987654
front	110654321
base	108987654
easy	106543210
rule	104987654
almost	102543218
age	100654321
mark	98987654
miss	96543210
nothing	94987654
check	92543218
against	90654321
round	88987654
mother	86543210
behind	84987654
south	82543218
north	80654321
reason	78987654
wish	76543210
simple	72543218
strong	70654321
happen	68987654
ever	66543210
answer	64987654
learn	62543218
interest	60654321
country	58987654
create	56543210
service	54987654
market	52543218
center	50654321
test	48987654
heart	46543210
paper	44987654
result	42543218
record	40654321
produce	38987654
red	36543210
green	34987654
develop	30654321
report	28987654
member	26543210
month	24987654
letter	22543218
week	20654321
matter	18987654
follow	16543210
program	14987654
office	12543218
present	10654321
tree	9987654
spring	9543210
contain	9087654
support	8543218
figure	8054321
minute	7987654
street	7543210
ball	7087654
dark	6543218
product	6054321
force	5543210
fish	5087654
remain	4543218
sit	4054321
brother	3987654
deep	2543218
note	2054321
season	1987654
pull	1543210
price	1087654
enter	543218
major	454321
fill	387654
post	343210
wide	287654
cause	243218
today	220000
pass	210000
sell	200000
song	190000
cold	180000
sense	170000
stay	160000
fall	150000
win	140000
offer	130000
plant	120000
charge	110000
cost	100000
unit	90000
require	70000
press	60000
model	50000
wait	40000
touch	30000
rise	20000
piece	10000
